"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 14 18:31:36 GMT 2021","Tue Sep 14 18:31:37 GMT 2021","451","","Tests","","Tests","newNote","Creating new note",""
"broken","Tue Sep 14 18:31:35 GMT 2021","Tue Sep 14 18:31:36 GMT 2021","1295","","Tests","","Tests","openStatistics","Open statistic",""
