"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 20 16:29:45 GMT 2022","Thu Jan 20 16:29:46 GMT 2022","482","","Tests","","Tests","newNote","Creating new note",""
"broken","Thu Jan 20 16:29:44 GMT 2022","Thu Jan 20 16:29:45 GMT 2022","1397","","Tests","","Tests","openStatistics","Open statistic",""
